Adresse;Campus;Zeitraum;Menge;Einheit;Art;Versorger;Gebäude;Baujahr;Sanierung;Nettogrundfläche
;Campus INF;Aug;275,759;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Sep;239,333;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Okt;221,137;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Nov;222,218;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Dez;208,639;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Jan;129,4;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Feb;118,7;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Mrz;107,6;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Apr;86,8;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Mai;138,2;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Jun;479,6;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Jul;177,7;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Aug;100,7;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Sep;77,4;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Okt;149,1;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Nov;256,3;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Dez;104;m3;Brauchwasser;;6227;2002;;15285,02
Im Neuenheimer Feld 227;Campus INF;Jahr;1611,705;MWh;Kälte;E.ON Energy Solutions GmbH;6227;2002;;15285,02
;Campus INF;Jan;130,062;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Feb;121,079;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Mrz;131,159;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Apr;117,118;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Mai;139,897;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Jun;167,718;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Jul;182,429;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Aug;189,329;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Sep;134,746;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Okt;110,167;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Nov;99,717;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Dez;88,284;MWh;Kälte;;6227;2002;;15285,02
Im Neuenheimer Feld 227;Campus INF;Jahr;4932,83585;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6227;2002;;15285,02
;Campus INF;Jan;12,12;MWh;SV Strom;;6227;2002;;15285,02
